geonameid,name,alternatenames,latitude,longitude,country code,city size
2783081,Zwijndrecht,"['ci wei en de lei he te', 'Zwijndrecht', 'Zvejndrekht', 'zwyyzhndrkt', 'Zuindracum', 'Zwyndrecht']",51.21979,4.32664,BE,15000
2783089,Zwevegem,"['zwywwzhm', 'Zwevehem', 'ci wei fu hai mu', 'Zvevegem', 'Zwevegem', 'Sweveghem']",50.81268,3.33848,BE,15000
2783175,Zottegem,"['Sottegem', 'ztzhm', 'Velzeke', 'Zotegem', 'Zottegem', 'zuo te hai mu']",50.86955,3.81052,BE,15000
2783188,Zonhoven,"['son ho fein', 'zwnwwan', 'Zonhovena', 'Zoneve', 'zong huo fen', 'Zonkhoven', 'Zonhoven']",50.99064,5.36819,BE,15000
2783197,Zolder,"['Heusden-Zolder (Zolder)', 'Zolder']",51.02455,5.30983,BE,15000
2783274,Zemst,"['Zemst', 'Sempst', 'zamst', 'ze mu si te']",50.98318,4.46079,BE,15000
2783293,Zele,"['ze lai', 'zl', 'Zele']",51.06566,4.0403,BE,15000
2783308,Zedelgem,"['ze de er hai mu', 'Zillehem', 'zwdlzhm', 'Zillegem', 'Zedelghem', 'Zedelgem', ""Zedel'gem""]",51.14236,3.1368,BE,15000
2783310,Zaventem,"['Zaventem', 'Saventhem', 'zwantm', 'zha fen te mu']",50.88365,4.47298,BE,15000
2783456,Wondelgem,"['Wondelgem', 'Wendelghem']",51.08705,3.70909,BE,15000
2783476,Woluwe-Saint-Lambert,"['  - ', '  ', 'wo lu wei-sheng lan bo', 'Woluwe-Saint-Lambert', 'wollwibeusaenglangbeleu', 'wwlww-sn-lambr', 'Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe', 'Sint-Lambrechts-Woluwe', 'Voljuve-Sen-Lamber', 'Woluwe-Saint-Lambert/Sint-Lambrechts-Woluwe', 'vuoryuue=san=ranberu', '--', 'Volive Sen Lamber', 'Sint Lambrekhts - Voljuve']",50.84389,4.42912,BE,15000
2783615,Wilrijk,"['Antwerpen (Wilrijk)', 'Wijlrijk', 'Wilryck', 'wwylryyq', 'Wilrijk', 'Vilrejk']",51.16734,4.39513,BE,15000
2783632,Willebroek,"['Vilebruk', 'Willebroeck', 'Villebruk', 'wywbrwyk', 'wei lei bu lu ke', 'Willebroek']",51.06041,4.36019,BE,15000
2783759,Wevelgem,"['Wevelghem', ""Vevel'geme"", 'Wevelhem', 'Wevelgem', 'wei fu er hai mu', 'Vevelgem']",50.8,3.16667,BE,15000
2783763,Wetteren,"['wei te lun', 'Wetteren', 'Wetteran', 'awytwran', 'Veteren', 'Vetteren']",51.00526,3.88341,BE,15000
2783801,Westerlo,"['Westel', 'Westerlo', 'awystrlw', 'Vesterlas', 'Westerloo', 'Vesterlo', 'wei si te luo']",51.09049,4.91544,BE,15000
2783820,Wervik,"['wei er fei ke', 'Vervik', 'wrwyk', 'Viroviacum', 'Wervicq', 'Wervik']",50.78069,3.03854,BE,15000
2783941,Wavre,"['Vavr', 'Wve', 'wa fu er', 'wwr', 'wavuru', 'Vavras', 'Vavra', 'Waver', 'Wavria', 'uabeuleu', 'Uavur', 'Wavre', 'ZGV', 'Wave']",50.71717,4.60138,BE,15000
2783979,Watermael-Boitsfort,"['wa te er ma er-bu wa fu er', 'Watermael-Boitsfort/Watermaal-Bosvoorde', 'Watermael-Boitsfort', 'wateleumalbuapoleu', 'Vatermal - Bosvorde', 'Bruxelles (Watermael-Boitsfort)', 'waterumaru=bowaforu', 'Brussel (Watermaal-Bosvoorde)', ' - ', 'Watermael-Boitsfort - Watermaal-Bosvoorde', ""Vatermal'-Buafor"", 'awytrmyl-bwatsfwr', 'Watermaal-Boschvoorde', 'Watermaal-Bosvoorde']",50.80154,4.41436,BE,15000
2783985,Waterloo,"['Vaterlo', 'Waterloo', 'wwtrlw', 'wateruro', 'watrlw', 'woteollu', 'Waterlo', 'Waterloum', 'Waterl', 'hua tie lu', 'Vaterloo', 'wo da lao', 'oyataralu']",50.71469,4.3991,BE,15000
2784068,Waregem,"['Woaregem', 'Waereghem', 'baleheom', 'wa lei hai mu', 'Varegemas', 'warkhm', 'warehemu', 'Waregemi vald', 'Waregem', 'Varegem']",50.88898,3.42756,BE,15000
